coupling_strength,mean_r,std_dev
0.0,0.10233676270548007,0.055782990842951984
0.034482758620689655,0.23265453974246889,0.1089322798877016
0.06896551724137931,0.368985705158079,0.16163815147429383
0.10344827586206896,0.5052843989959283,0.18282786502487625
0.13793103448275862,0.5168646013904852,0.19687914819593003
0.1724137931034483,0.5324276598762168,0.22287592544421064
0.20689655172413793,0.590741041947086,0.25997760503682477
0.24137931034482757,0.6728433125965223,0.25174266228236675
0.27586206896551724,0.6610155142895908,0.24642059688420484
0.3103448275862069,0.6917709069015564,0.222182239526863
0.3448275862068966,0.736267873875968,0.22595271251447674
0.3793103448275862,0.7655448601323915,0.24183973117011023
0.41379310344827586,0.7513993602746605,0.23410259357614613
0.4482758620689655,0.8018904182304252,0.2279902118318722
0.48275862068965514,0.8460941923367895,0.17480585482306404
0.5172413793103449,0.731262339121722,0.2729711405549966
0.5517241379310345,0.8550960939171485,0.20196178838767853
0.5862068965517241,0.7944791499210361,0.2634218646768961
0.6206896551724138,0.7955344101783365,0.2646942079737181
0.6551724137931034,0.830880701357986,0.23088557510137872
0.6896551724137931,0.796107722713959,0.26858276545493204
0.7241379310344828,0.8743095022027504,0.21845248823385335
0.7586206896551724,0.8093802576700646,0.24604900534298293
0.7931034482758621,0.8652869238026857,0.21821623008589724
0.8275862068965517,0.8314858539006912,0.2621000184551293
0.8620689655172413,0.8752142380112875,0.2092900116728482
0.896551724137931,0.8688218703308404,0.23794785847745362
0.9310344827586207,0.8937219506045525,0.18286714530808712
0.9655172413793103,0.9183081716175144,0.17505080922630828
1.0,0.912879417140134,0.20099963680111876
