coupling_strength,mean_order_parameter,std_dev,sem,n_trials
0.0,0.2663928065329071,0.016711678320549234,0.002363388213093715,50
0.05263157894736842,0.2836032719667372,0.050588608051320795,0.007154309560775462,50
0.10526315789473684,0.26110337562305946,0.02955908020262725,0.004180285211382951,50
0.15789473684210525,0.26643054968266655,0.03114329228965707,0.004404326633298246,50
0.21052631578947367,0.23947891376802524,0.029047675587089993,0.004107961677067652,50
0.2631578947368421,0.2508734585249982,0.0386926863933758,0.0054719721862160975,50
0.3157894736842105,0.2558438562901636,0.04740159772657206,0.006703598238307188,50
0.3684210526315789,0.24240534898878832,0.026563466041256898,0.0037566413939182654,50
0.42105263157894735,0.23985717505697804,0.022499542070334548,0.003181915754305114,50
0.47368421052631576,0.24468811761511344,0.02365834534303533,0.0033457952847426916,50
0.5263157894736842,0.24176271226481652,0.0234237808812652,0.0033126228604340854,50
0.5789473684210527,0.23955499475339384,0.020713403406791446,0.0029293176020789534,50
0.631578947368421,0.22950900563192234,0.01405888489050391,0.0019882265683992817,50
0.6842105263157894,0.23123284650579726,0.021052116117002702,0.002977218812931844,50
0.7368421052631579,0.23203745948605636,0.011968002176967326,0.0016925310993177918,50
0.7894736842105263,0.2494413914878597,0.028963052045230926,0.004095994101008338,50
0.8421052631578947,0.2487951686269227,0.03256583281969316,0.0046055042443584925,50
0.894736842105263,0.24543159758594235,0.036363956712541855,0.005142640076442484,50
0.9473684210526315,0.24464510451441537,0.040825569964751944,0.005773607473576387,50
1.0,0.25319679331282696,0.04462858159026902,0.006311434535443268,50
