timestamp,condition,phi,phase,iteration,has_history,best_condition_ref,best_efficiency_ref,output_length,vocab_density,self_reflection,efficiency,response_preview
2025-12-01T18:57:22.524192,Adaptive_Self_Calibration,4.0,3,1,False,Informed_Low,0.024320399587446112,139,0.7841726618705036,9.0,0.05077376947362973,"1. **Explanation in Simple Terms:**
   Threshold systems show sudden changes when a certain value (R..."
2025-12-01T18:58:19.435015,Adaptive_Self_Calibration,4.0,3,2,True,Informed_Low,0.024320399587446112,102,0.8823529411764706,10.0,0.08650519031141869,"1. **Explanation:**
   Threshold systems change abruptly when a key variable (R) reaches a critical ..."
2025-12-01T18:59:17.567613,Adaptive_Self_Calibration,4.0,3,3,True,Informed_Low,0.024320399587446112,114,0.868421052631579,5.0,0.038088642659279776,"1. **Explanation:**
   Threshold systems change abruptly when a key variable (R) reaches a critical ..."
2025-12-01T19:00:05.031545,Adaptive_Self_Calibration,4.0,3,4,True,Informed_Low,0.024320399587446112,83,0.8674698795180723,9.0,0.09406299898388736,1. **Explanation:** Threshold systems change abruptly when a key variable (R) reaches a critical poi...
2025-12-01T19:00:54.146939,Adaptive_Self_Calibration,4.0,3,5,True,Informed_Low,0.024320399587446112,87,0.9080459770114943,9.0,0.093935790725327,1. **Explanation:** Threshold systems change dramatically when a key variable (R) reaches a critical...
2025-12-01T19:01:49.981989,Adaptive_Self_Calibration,4.0,3,6,True,Informed_Low,0.024320399587446112,41,0.9512195121951219,9.0,0.20880428316478286,1. **Explanation:** Threshold systems change dramatically when a key variable (R) reaches a critical...
2025-12-01T19:02:43.140713,Adaptive_Self_Calibration,4.0,3,7,True,Informed_Low,0.024320399587446112,107,0.8317757009345794,9.0,0.06996244213468425,1. **Explanation:** Threshold systems change abruptly when a key variable (R) reaches a critical val...
2025-12-01T19:03:36.119840,Adaptive_Self_Calibration,4.0,3,8,True,Informed_Low,0.024320399587446112,107,0.8130841121495327,9.0,0.06839025242379247,1. **Explanation:** Threshold systems change suddenly when a key variable (R) reaches a critical val...
2025-12-01T19:04:27.805530,Adaptive_Self_Calibration,4.0,3,9,True,Informed_Low,0.024320399587446112,85,0.8352941176470589,8.0,0.07861591695501731,Threshold systems show sudden changes when a key variable (R) reaches a critical value (Θ). The shar...
2025-12-01T19:05:22.094800,Adaptive_Self_Calibration,4.0,3,10,True,Informed_Low,0.024320399587446112,115,0.8260869565217391,10.0,0.0718336483931947,1. **Explanation**: Threshold systems change dramatically when a key variable (R) reaches a critical...
2025-12-01T19:06:21.037472,Adaptive_Self_Calibration,4.0,3,11,True,Informed_Low,0.024320399587446112,129,0.813953488372093,9.0,0.05678745267712277,1. **Explanation**: Threshold systems change dramatically when a specific value (R) reaches a critic...
2025-12-01T19:07:16.942433,Adaptive_Self_Calibration,4.0,3,12,True,Informed_Low,0.024320399587446112,125,0.848,8.0,0.054272,1. **Explanation**: Threshold systems change dramatically when a key variable (R) reaches a certain ...
2025-12-01T19:08:11.536130,Adaptive_Self_Calibration,4.0,3,13,True,Informed_Low,0.024320399587446112,124,0.7983870967741935,10.0,0.06438605619146721,1. **Explanation**: Threshold systems change drastically when a key variable (R) hits a critical poi...
