Country,Year,Gini,Load,Stability_Score,Crisis_Event,Crisis_Description
Brazil,1990,0.5356864983651033,1.5713729967302066,58.259220228732154,0,None
Brazil,1991,0.5606785688570607,1.6213571377141214,67.00379055632811,0,None
Brazil,1992,0.48581291913596936,1.4716258382719387,61.956617268715895,0,None
Brazil,1993,0.5286158464633076,1.5572316929266152,70.94090102676877,0,None
Brazil,1994,0.5284970698562106,1.5569941397124212,72.547663813233,0,None
Brazil,1995,0.5395455717944327,1.5790911435888655,66.06574951228741,0,None
Brazil,1996,0.48707623222804797,1.474152464456096,64.91079550125666,0,None
Brazil,1997,0.48298858467289313,1.4659771693457864,65.24261668596259,0,None
Brazil,1998,0.5270485391404225,1.554097078280845,64.87133138213633,0,None
Brazil,1999,0.5194246168308296,1.5388492336616593,72.1499394979785,0,None
Brazil,2000,0.5162623212586469,1.5325246425172938,80.02918811181468,0,None
Brazil,2001,0.5166612052374244,1.5333224104748489,56.9992332393503,0,None
Brazil,2002,0.4889993819605377,1.4779987639210754,58.83036407787534,0,None
Brazil,2003,0.5098063424290251,1.5196126848580502,73.17901798451976,0,None
Brazil,2004,0.5093268118324671,1.5186536236649342,58.146352439043525,0,None
Brazil,2005,0.4821412145493408,1.4642824290986816,56.76784721052505,0,None
Brazil,2006,0.5446443627786189,1.5892887255572379,77.69222861309898,0,None
Brazil,2007,0.5078458230227947,1.5156916460455894,63.354350686969646,0,None
Brazil,2008,0.46421741256993376,1.4284348251398675,63.499127459952646,0,None
Brazil,2009,0.5084138402158458,1.5168276804316916,61.94701760040666,0,None
Brazil,2010,0.465632958244317,1.431265916488634,68.4880443764505,0,None
Brazil,2011,0.5076771150935614,1.5153542301871228,58.20139951633369,0,None
Brazil,2012,0.5149648894751852,1.5299297789503703,75.6463353475239,0,None
Brazil,2013,0.46348294204120727,1.4269658840824144,69.51827794401585,0,None
Brazil,2014,0.506084403231108,1.512168806462216,64.68919860939259,0,None
Brazil,2015,0.4903195231734125,1.480639046346825,53.68976640323348,0,None
Brazil,2016,0.4985515039998623,1.4971030079997245,57.64954164035804,1,Political crisis
Brazil,2017,0.5234198245663487,1.5468396491326974,71.26381790854637,0,None
